path,pnl
0,0.003766675386844044
1,0.0011023458323815571
2,-0.0011393736467176028
3,0.0002747843470651823
4,0.0013099458823370158
5,-0.00338440620707936
6,-0.0011211348639119504
7,-0.0004775920213205148
8,0.003149716630042279
9,-0.00270379511255725
10,-0.0004229550419769801
11,-0.000942636578731948
12,0.002570799195628526
13,0.0006742136048505376
14,0.0003640948038536873
15,-0.0011767510031421226
16,-0.00034499375491003903
17,0.0007438701521936812
18,-0.0011796827849392946
19,-0.0009548633601531059
20,-0.0004035036301315298
21,-8.118300259685185e-05
22,-0.001014157172464003
23,0.00010577223403562819
24,-0.0012259571571062722
25,-0.001067692783273344
26,0.00047700280904073005
27,-0.0014698037094624805
28,0.0009510815995514843
29,-0.0005310721870420188
30,0.000730178129401897
31,-0.0017526185228948776
32,0.0013645240058024477
33,0.00020421676512416553
34,-0.00012925298532040497
35,-0.008168572598531876
36,-0.0007068041444808125
37,-0.0008153975076961756
38,5.454910213620323e-05
39,0.0013059063820712806
40,0.0026993754485649347
41,0.001653833069488782
42,-0.0003597864730711109
43,-0.002297283069043976
44,-0.0005001567171323318
45,-0.002836811648160298
46,0.00021513472159061613
47,-0.0009012885845550711
48,0.0025606113254004297
49,6.71937634722786e-05
50,-0.001170590014952566
51,-0.0009636450825753661
52,-0.0031551350197196212
53,-0.0010126233736675871
54,-0.0009890725818959556
55,0.00017746003780749753
56,0.003964718685528723
57,-0.0016491185400626662
58,-0.0004026240071619558
59,5.7026035493719006e-05
60,-0.0009828146744512967
61,0.0031716499336841286
62,0.0004806199596760763
63,0.0004402508925576143
64,-0.0018295553885807614
65,0.001030398792953191
66,-0.0023834172341705706
67,0.0009112292969115643
68,-0.0009620591738461748
69,0.0012747937899080242
70,-0.00016462076357259825
71,-0.0005419920490590258
72,0.0018490605916844129
73,-0.00012403882172903834
74,-4.531058408807631e-05
75,-0.0021722400393509034
76,-0.002567563935639283
77,-0.001869286197650144
78,-0.0003160388834424488
79,-0.0008028711310112957
80,-0.0007264031199660792
81,0.0028494822804767186
82,0.007847488907303246
83,-0.0014240118999954397
84,0.0024912535917811507
85,-0.0038367145240469913
86,0.0031615458991157176
87,0.00281959979399371
88,0.003962816120465229
89,0.0005565176267448013
90,0.004370809744560454
91,0.00017844568195068966
92,0.0018492317162965843
93,0.00027488271686570975
94,-0.0002968464350125988
95,-0.0004733633247418405
96,-0.0015630192106246277
97,-0.0007481688987942547
98,-0.0004615432576209333
99,0.002384440592631834
100,-0.0003107486960203243
101,-0.0014572656563733855
102,0.0003555345867658488
103,0.0013071773206601023
104,0.0005808417982950953
105,0.0007285186348504613
106,-0.008626189642358062
107,-0.0023482350250383366
108,0.002255512144015759
109,0.00887728586756964
110,-0.0028378580346379856
111,3.3437992519877766e-05
112,-0.0027712940193433955
113,0.00033045962940017896
114,0.0007724461898269226
115,0.0017572444053191028
116,-0.008240521562502767
117,0.0004252761152316875
118,-0.0002368408345949555
119,-0.0016656580136464871
120,2.2120565643213297e-05
121,0.00021351731082591696
122,-0.0002362441078158639
123,0.002017513620259391
124,0.0026001608436876378
125,0.0022422000153842214
126,-0.0003906774424514757
127,-0.008087425059290165
128,-0.0032789481864086145
129,0.0015462499906957472
130,0.00026274607049869836
131,-0.0009329905112309689
132,-0.003769175578062889
133,0.002766692012363747
134,0.0024440285035556286
135,-0.00015351107669917476
136,-0.0008476671463222285
137,-0.002182172071403138
138,0.0012022790136009872
139,-0.0013302766711893676
140,0.0011113607283069898
141,0.002031066911069468
142,-0.00118233934590517
143,-3.3929628707296544e-05
144,0.00040671128239266885
145,-0.0002190638272691246
146,-0.0017798935195372048
147,0.0015018061753524492
148,0.0029578859833951357
149,-0.0018437359477063708
150,-0.0008878507065555347
151,-0.0020097069884514873
152,-0.003924790589223551
153,-0.00243385221513246
154,0.0004940127896062019
155,0.0014639006064802464
156,6.288117042663188e-05
157,-0.0014151570527012936
158,0.0015157647128216682
159,-0.0007541045537351465
160,0.002518808974993458
161,-3.44311769080452e-05
162,0.0011118644566268099
163,-0.0025913513380200204
164,0.0001336714821235015
165,0.0011383007308143494
166,-0.0020515830824682445
167,0.0011815591069815577
168,0.0022296052664593185
169,-0.008576266662698506
170,0.0011729629991605872
171,5.353488155463189e-05
172,0.0006455952527788522
173,0.0007013522308412234
174,-0.0015665795267829873
175,-0.0008378389380729878
176,-0.0005607225983192965
177,0.000367297332416986
178,-0.0008018218679426425
179,0.0035596352780771223
180,0.0018391477546244328
181,-0.0014193140583352282
182,0.0016268070926108733
183,0.001069467366663801
184,0.0004722445963476485
185,0.00048058082867180607
186,-0.0003678073909242706
187,-0.0010136444329167382
188,-0.0006269307313835074
189,-0.0008417961534102513
190,0.0003679067798796826
191,0.0006703825743054059
192,-0.0021044552031083182
193,0.002607543786373734
194,0.002230112582013179
195,0.000753473249617696
196,-0.0012648115017457387
197,0.0007482454729572097
198,-0.0003840701427062464
199,0.005384336656275801
200,3.287562968901092e-05
201,-0.002367691055638184
202,0.002354026661601212
203,0.000749290632779509
204,-0.0028217427702696973
205,2.5357569479116747e-05
206,-0.0005065938817772064
207,-0.0008165631146200155
208,-0.00014302281260492045
209,5.028557052977334e-06
210,0.0038014542968845036
211,-0.002092286537372222
212,0.0010428471262020692
213,0.0018410850133711838
214,0.00010037077939019339
215,-0.0010632285827390387
216,0.0017964072684093896
217,-0.003465808675804261
218,0.0002052676648632022
219,0.0007429930656261963
220,0.00040801154187253275
221,0.0014509846489860756
222,0.001591397237254955
223,-0.00021308017832253896
224,-0.002500607946677613
225,-0.0005256083267870526
226,0.0004014948295212317
227,0.0016974802403804112
228,-0.0015815348513760427
229,-0.0016776362787962462
230,-0.0008244082029409019
231,-0.004075285703740272
232,-0.0036860649478163143
233,-0.0006874340683315746
234,-0.0004953756272196852
235,0.00017334582300376766
236,0.0012282569142034714
237,0.00029659828387007536
238,-0.0029132898180435074
239,0.00021297603942430418
240,0.0007448166301630144
241,0.004531336525934737
242,-0.0033741264927011397
243,-0.0015893143507842964
244,0.00024720675154821237
245,0.00033934901455245914
246,0.0006565950242136638
247,-0.002944047826497931
248,-0.0011297325324943518
249,0.00015290112110277754
250,0.0005916694469454836
251,-0.0010267357462387938
252,0.00312544543308932
253,-5.754703434490693e-05
254,0.001217063164192859
255,-0.0029220495742989794
256,-0.0006342507114640883
257,-0.0005499101473384291
258,-0.0004926640131779417
259,0.0034826542815942774
260,0.0023651294018953717
261,-0.0013985289483737784
262,0.0017193107921793516
263,-0.0025298787440775072
264,0.0007246501928412918
265,0.0009003393899273959
266,-0.0030958055329495843
267,0.0005308874390627244
268,-0.0002547860643378197
269,-0.0009328792877691949
270,0.003166952697987812
271,-0.006754789998239363
272,-8.984437950032564e-05
273,-0.0015674245405750131
274,-0.0010795201853002864
275,0.00045396791518870216
276,-0.004065157704473773
277,-0.0038878230020176208
278,0.0008907804935358588
279,-0.0031599197465436877
280,0.0018424087330507122
281,0.0007684276764152207
