scenario,sigma_implied,sigma_realized,mean_sim_pnl,mean_gamma_pnl,std_sim_pnl
realized < implied,0.1,0.07,0.012546592295264123,0.012367024164765905,0.004772612791790755
realized = implied,0.1,0.1,-1.3540589747748508e-05,0.0,0.002336431548325964
realized > implied,0.1,0.13,-0.012724645481702606,-0.012543128469066115,0.006338673309320714
