label,realized_vol,mean_pnl,std_pnl,p5,p95,skew,excess_kurtosis,worst_1pct,std_ratio_vs_baseline,worst1pct_ratio_vs_baseline
baseline (constant vol),0.10002796967597427,-1.3540589747748508e-05,0.002336431548325964,-0.0036650085423298616,0.0038029921604537695,0.023847803870783092,2.314661538985349,-0.006755386335100666,1.0,1.0
Heston (rho=+0.0),0.09362038651086876,0.0021642932654359365,0.015475088087251135,-0.02506572087556694,0.022760692757292655,-1.2323917260256916,3.2901915463644853,-0.051382079386731457,6.623386034287596,7.606090434791659
Heston (rho=-0.7),0.09406183457310056,0.0005327188384615584,0.012376803500395949,-0.02336403608894999,0.015880227598104986,-1.291822027362681,2.89313564195031,-0.04242636966998813,5.297310554321113,6.280376512227396
