frequency,interval_days,n_intervals,mean_pnl,std_pnl,std_pct_of_premium
monthly,21.0,12,-0.00013140211536716943,0.01030316648075894,16.780224159775567
weekly,5.0,51,-2.0211069865302424e-05,0.0053302909638217625,8.681163929243512
daily,1.0,252,-5.9392788098805545e-05,0.002460643362064142,4.007520141483594
twice-daily,0.5,504,-3.5433234964883654e-05,0.001775711848312669,2.8920082882773253
